               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.02151,            0.011037,           0.0027983,             0.95474,             0.92342,             0.94659,             0.76946,            0.011169,           0.0053143,           0.0014326,            0.006535,            0.006535,            0.006535
                  37,            0.022205,             0.01106,           0.0047865,             0.94433,             0.88968,             0.94176,             0.77301,            0.011233,           0.0050992,           0.0021537,            0.006436,            0.006436,            0.006436
                  38,            0.020248,            0.011052,           0.0043865,             0.95098,             0.90319,             0.95575,             0.76286,            0.011835,           0.0057947,           0.0024598,            0.006337,            0.006337,            0.006337
                  39,              0.0219,            0.010845,           0.0027179,             0.99157,             0.88688,             0.94827,             0.78837,           0.0098198,           0.0054068,           0.0027341,            0.006238,            0.006238,            0.006238
                  40,            0.020023,            0.010786,           0.0027318,             0.97773,             0.89076,             0.96409,             0.79938,            0.010202,           0.0048068,           0.0024058,            0.006139,            0.006139,            0.006139
                  41,            0.021729,            0.011307,           0.0027881,             0.94181,             0.88507,             0.95757,             0.73264,            0.013215,           0.0052866,            0.003052,             0.00604,             0.00604,             0.00604
                  42,            0.020469,           0.0099166,           0.0022636,             0.97871,             0.89908,             0.93326,             0.75324,             0.01199,            0.005775,           0.0025303,            0.005941,            0.005941,            0.005941
                  43,            0.020561,            0.010244,           0.0029245,             0.92587,             0.80523,             0.92617,             0.77727,            0.011593,           0.0056837,           0.0044773,            0.005842,            0.005842,            0.005842
                  44,            0.019199,            0.010643,           0.0026561,             0.95886,             0.89619,             0.95923,             0.78909,            0.011354,             0.00483,           0.0021407,            0.005743,            0.005743,            0.005743
                  45,            0.020962,             0.01058,           0.0029165,             0.98813,              0.8837,             0.95684,              0.8057,             0.01064,           0.0048544,           0.0021009,            0.005644,            0.005644,            0.005644
                  46,            0.019092,            0.010137,           0.0029698,              0.9665,             0.89981,             0.96683,             0.79964,            0.011466,           0.0046169,           0.0020394,            0.005545,            0.005545,            0.005545
                  47,            0.019594,           0.0099974,           0.0035009,             0.63726,             0.65831,             0.64688,              0.4206,             0.02094,            0.010217,            0.014131,            0.005446,            0.005446,            0.005446
                  48,            0.019507,            0.010656,           0.0026377,             0.97112,             0.90224,             0.95544,             0.80487,            0.011176,           0.0051799,           0.0023185,            0.005347,            0.005347,            0.005347
                  49,             0.01967,            0.010179,           0.0030386,             0.98933,             0.89196,             0.96237,             0.79996,            0.010825,           0.0048924,           0.0020946,            0.005248,            0.005248,            0.005248
                  50,             0.01901,           0.0098024,           0.0022749,              0.9821,             0.90145,             0.96589,             0.80359,            0.012846,           0.0050205,           0.0023153,            0.005149,            0.005149,            0.005149
                  51,            0.018362,            0.009697,           0.0019649,             0.93855,             0.87558,             0.95467,             0.80273,            0.010837,           0.0050642,           0.0029358,             0.00505,             0.00505,             0.00505
                  52,            0.017889,           0.0098493,           0.0017498,             0.92975,             0.87548,             0.94637,             0.80656,            0.010781,           0.0051748,           0.0034273,            0.004951,            0.004951,            0.004951
                  53,            0.018529,           0.0095834,           0.0030988,             0.94662,             0.89687,             0.95281,             0.83314,            0.010256,           0.0050218,           0.0033588,            0.004852,            0.004852,            0.004852
